ID	CAS_No	Chemical_Name	Chemical_Name_Cirpy	TSCA_Name	VT_KR_NZ_Name	Chemical_Name_Scifinder	Chemical_Name_SMILECAS	Chemical_Name_Reaxys	Chemical_Name_OECD_QSAR	Chemical_Name_Final	Chemical_Name_Final_Source	UVCB_TSCA	UVCB_SciFinder	UVCB_Final	UVCB_Final_Source	UVCB&Polymers	Metals	Organometallics	Polymers	Processes	Mixtures	Biological	InChIKey_Dashboard_all	InChIKey_Cirpy	InChIKey_Dashboard	InChIKey_Reaxys	InChIKey_SMILES	InChIKey_Scifinder	InChIKey_Comparison	InChIKey_Final	InChIKey_Final_Source	InChI_Dashboard	InChI_Scifinder	InChI_Cirpy	InChI_Final	InChI_Final_Source	SMILES_OECD_QSAR	SMILES_Cirpy	SMILES_Pubchem	SMILES_ClassyFire	SMILES_Final	SMILES_Final_Source	Alternate_CAS_No	Deleted_CAS_No	Classyfired	Pigments	Trade_Name	ClassyFired_new	Fluoro	Bromo	Chloro	Iodo	MInChI
207994	890525-22-1			Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with 1,4-butanediol, 1,6-diisocyanatohexane, dimethyl carbonate, 1,2-ethanediamine, 1,6-hexanediol and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, polyethylene-polypropylene glycol mono-Bu ether-blocked					Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with 1,4-butanediol, 1,6-diisocyanatohexane, dimethyl carbonate, 1,2-ethanediamine, 1,6-hexanediol and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, polyethylene-polypropylene glycol mono-Bu ether-blocked	Propanoic acid, 3-hydroxy-2-(hydroxymethyl)-2-methyl-, polymer with 1,4-butanediol, 1,6-diisocyanatohexane, dimethyl carbonate, 1,2-ethanediamine, 1,6-hexanediol and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane, polyethylene-polypropylene glycol mono-Bu ether-blocked	US TSCA	0	0	1	US TSCA	0	0	0	1	0	0	0																					0	0	0	0	0	0	0	0	0	0	
31169	1312024-58-0					1,2-Ethanediamine, N1,N2-bis(2-aminoethyl)-, polymer with N1-(2-aminoethyl)-1,2-ethanediamine, α-hydro-ω-hydroxypoly(oxy-1,2-ethanediyl) and 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis[oxirane], reaction products with glycidyl Ph ether and glycidyl o-tolyl ether				1,2-Ethanediamine, N1,N2-bis(2-aminoethyl)-, polymer with N1-(2-aminoethyl)-1,2-ethanediamine, α-hydro-ω-hydroxypoly(oxy-1,2-ethanediyl) and 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis[oxirane], reaction products with glycidyl Ph ether and glycidyl o-tolyl ether	SciFinder	0	1	1	SciFinder	0	0	0	1	1	1	0																					0	0	0	0	0	0	0	0	0	0	
157556	68308-40-7			Tannins, compds. with 4-[(4-aminophenyl)(4-amino-2,5-cyclohexadien-1-ylidene)methyl]-2-methylbenzenamine	Tannins, compds. with 4-[(4-aminophenyl)(4-amino-2,5-cyclohexadien-1-ylidene)methyl]-2-methylbenzenamine				Tannins, compds. with 4-[(4-aminophenyl)(4-amino-2,5-cyclohexadien-1-ylidene)methyl]-2-methylbenzenamine	Tannins, compds. with 4-[(4-aminophenyl)(4-amino-2,5-cyclohexadien-1-ylidene)methyl]-2-methylbenzenamine	US TSCA	0	0	1	US TSCA	0	0	0	0	0	1	0					NIKFYOSELWJIOF-UHFFFAOYSA-N			NIKFYOSELWJIOF-UHFFFAOYSA-N	OECD QSAR						Cl.Cc1cc(ccc1N)C(c1ccc(N)cc1)=C1C=CC(=N)C=C1	Cl.Cc1cc(ccc1N)C(c2ccc(N)cc2)=C3C=CC(=N)C=C3		Cl.Cc1cc(ccc1N)C(=C1C=CC(=N)C=C1)c1ccc(N)cc1	Cl.Cc1cc(ccc1N)C(c1ccc(N)cc1)=C1C=CC(=N)C=C1	OECD QSAR	0	0	1	0	0	1	0	0	0	0	
51577	162353-77-7					Acid chlorides, coco, reaction products with keratin hydrolyzates, compds. with triethanolamine				Acid chlorides, coco, reaction products with keratin hydrolyzates, compds. with triethanolamine	SciFinder	0	1	1	SciFinder	0	0	0	0	1	1	0																					0	0	0	0	0	0	0	0	0	0	
234713	99247-63-9					2-Propenoic acid, polymer with 2-methyl-2-[(1-oxo-2-propenyl)amino]-1-propanesulfonic acid monosodium salt and α-(2-methyl-1-oxo-2-propenyl)-ω-hydroxypoly(oxy-1,2-ethanediyl) (9CI)				2-Propenoic acid, polymer with 2-methyl-2-[(1-oxo-2-propenyl)amino]-1-propanesulfonic acid monosodium salt and α-(2-methyl-1-oxo-2-propenyl)-ω-hydroxypoly(oxy-1,2-ethanediyl) (9CI)	SciFinder	0	1	1	SciFinder	0	0	0	1	0	0	0																					0	0	0	0	0	0	0	0	0	0	
184412	75543-79-2					1-Octadecanol, 9,9(or 10,10)-bis(hydroxymethyl)-				1-Octadecanol, 9,9(or 10,10)-bis(hydroxymethyl)-	SciFinder	0	0	1	From Name	0	0	0	0	0	1	0																					0	0	0	0	0	0	0	0	0	0	
212382	90530-11-3					2-Propanone, reaction products with phenol, distn. residues				2-Propanone, reaction products with phenol, distn. residues	SciFinder	0	1	1	SciFinder	0	0	0	0	1	1	0																					0	0	0	0	0	0	0	0	0	0	
4387	103069-97-2					Linseed oil, reaction products with p-tert-butylphenol-formaldehyde polymer, rosin and tung oil				Linseed oil, reaction products with p-tert-butylphenol-formaldehyde polymer, rosin and tung oil	SciFinder	0	1	1	SciFinder	0	0	0	1	1	1	0																					0	0	0	0	0	0	0	0	0	0	
208706	89957-54-0					Arisaema dracontium, ext.				Arisaema dracontium, ext.	SciFinder	0	1	1	SciFinder	0	0	0	0	0	0	1																					0	0	0	0	0	0	0	0	0	0	
220354	93572-99-7					Dodecanoic acid, reaction products with diethylenetriamine				Dodecanoic acid, reaction products with diethylenetriamine	SciFinder	0	1	1	SciFinder	0	0	0	0	1	1	0																					0	0	0	0	0	0	0	0	0	0	
